UID,Name,Club,Position,Age,Average Transfer Value,Saves Parried,Saves Tipped,Saves Held,Save Percentage,Passes Completed per 90,Inteceptions per 90,Expected Save Percentage,Expected Goals pervented per 90,Average Rating,Games Win Ratio,Goals allowed Per 90,Total Saves Per 90,Key Passes Per 90,Passes attempted per 90,Pass Completion Ratio,Progressive Passes Per 90,Player Of The Match,Pens Saved Ratio,Salary
61094600,Ben Swinton - Scottish,Dundonald B. - East of Scotland Premier Division,GK,22,"£1,000.00",85.00,29.00,32.00,10.03,10.03,0,-0.29,-0.29,6.18,2.09,2.09,3.00,0.05,21.23,0.47,0,1.00,0,110.00
48044602,Florent Rizzolo - French,Stade Bordelais - French National 3 - Group B,GK,24,"£1,000.00",0.00,0.00,0.00,12.68,12.68,0,0.01,0.01,7.18,1.53,1.53,0.00,0.02,21.16,0.6,0,0.00,0,170.00
29236286,André da Silva Mendes - Portuguese,Lancaster - English Northern Premier League Premier Division,GK,21,£750.00,0.00,0.00,0.00,11.75,11.75,0,0,0,7.27,0.78,0.78,0.00,0,20,0.59,0,2.00,0,150.00
52095835,Ben Fry - Northern Irish,Pollok - West of Scotland Premier Division,GK,23,£0.00,70.00,29.00,35.00,12.13,12.13,0,-0.18,-0.18,6.44,1.64,1.64,3.00,0,21.58,0.56,0,1.00,0.33,180.00
2000109395,Luis Hillemeier - German,Clarholz - German Div. Westphalia,GK,22,£0.00,0.00,0.00,0.00,11.95,11.95,0,0,0,6.88,1.19,1.19,0.00,0,20,0.6,0,1.00,0,240.00
2000008479,Alexis Gonthiez - French,Stade Plabennécois - French National 3 - Group E,GK,20,£0.00,1.00,3.00,1.00,12.35,12.35,0,0.02,0.02,7.36,0.87,0.87,0.00,0,20.01,0.62,0,3.00,0,210.00
2000289687,Rayan Boubakri - French,GOAL FC - French National,GK,22,£0.00,0.00,0.00,0.00,12.12,12.12,0,0,0,7.31,1.21,1.21,0.00,0,20,0.61,0,1.00,0,85.00
18089256,Julien Wets - Belgian,RCS Nivellois - Brabant Provincial Division (Wal),GK,27,£0.00,0.00,0.00,0.00,11.88,11.88,0,0,0,7.39,1.1,1.1,0.00,0,20,0.59,0,1.00,0,0.00
37084820,Magdiel Agyei-Adomako - Dutch,ASWH - Dutch Vierde Divisie B,GK,22,£0.00,0.00,0.00,0.00,12.26,12.26,0,0,0,7.57,1.05,1.05,0.00,0,20,0.61,0,1.00,0,0.00
18087089,Brent Van Steelandt - Belgian,Grembergen - East-Flanders Provincial Division,GK,27,£0.00,0.00,0.00,0.00,13.01,13.01,0,0,0,7.33,1.1,1.1,0.00,0,20.88,0.62,0,0.00,0,0.00
29226425,Harvey Wiles-Richards - English,Guernsey - English Isthmian League South Central Division,GK,22,£0.00,0.00,0.00,0.00,12.01,12.01,0,0,0,7.19,1.09,1.09,0.00,0,20.34,0.59,0,1.00,0,700.00
48048203,Patrick Trindade - French,Stade Montois Football - French Regional 1 - Nouvelle Aquitaine - Group C,GK,22,£0.00,0.00,0.00,0.00,11.72,11.72,0,0,0,7.7,0.98,0.98,0.00,0,20,0.59,0,4.00,0,0.00
18087986,Gilles Belin - Belgian,VC Bertem-Leefdaal - Brabant Provincial Division (Fla),GK,25,£0.00,0.00,0.00,0.00,12.09,12.09,0,0,0,6.99,1.34,1.34,0.00,0,20.43,0.59,0,2.00,0,0.00
18110759,Stef De Schepper - Belgian,KSK Beveren - East-Flanders Provincial Division,GK,22,£0.00,0.00,0.00,0.00,12.85,12.85,0,0,0,7.57,0.97,0.97,0.00,0,20.99,0.61,0,4.00,0,0.00
37056336,Phil van den Broek - New Zealand,Unitas '59 - -,GK,27,£0.00,0.00,0.00,0.00,10.84,10.84,0,0,0,5.62,1.7,1.7,0.00,0,20,0.54,0,0.00,0,0.00
37084799,Jason Fitz-Jim - Dutch,Achilles '29 - Dutch Tweede Klasse Zaterdag G,GK,21,£0.00,0.00,0.00,0.00,11.88,11.88,0,0,0,7.37,0.98,0.98,0.00,0,20,0.59,0,0.00,0,0.00
2000301223,Paul Van Dijk - French,AS Chatou - French National 3 - Group F,GK,22,£0.00,0.00,0.00,0.00,11.67,11.67,0,0,0,6.73,1.47,1.47,0.00,0,20,0.58,0,0.00,0,35.00
2000180985,David Bouzas - German,Verlautenheide - German Lower Division,GK,21,£0.00,0.00,0.00,0.00,11.72,11.72,0,0,0,6.77,1.44,1.44,0.00,0,20,0.59,0,0.00,0,0.00
14108935,Tommy - Argentinian,Sant Josep - Spanish Regional Ibiza-Formentera,GK,28,£0.00,0.00,0.00,0.00,12.26,12.26,0,0,0,7.33,1.23,1.23,0.00,0,20.37,0.6,0,2.00,0,0.00
18096963,Yannick Verbist - Belgian,KFC De Kempen TL - Antwerp Provincial Division,GK,25,£0.00,0.00,0.00,0.00,12.36,12.36,0,0,0,7.3,1.28,1.28,0.00,0,20.38,0.61,0,2.00,0,0.00
2000046018,Jelle Kortleven - Belgian,K. Boorsem Sport - Limburg Provincial Division,GK,22,£0.00,0.00,0.00,0.00,12.17,12.17,0,0,0,7.31,1.1,1.1,0.00,0,20,0.61,0,0.00,0,0.00
29110227,Dillon Barnes - Jamaican,Haringey - English Isthmian League Premier Division,GK,28,£0.00,0.00,0.00,0.00,12.42,12.42,0,0,0,7.3,1.31,1.31,0.00,0,20.83,0.6,0,0.00,0,0.00
18083604,Stijn Jeurissen - Belgian,K Lanaken VV - Limburg Provincial Division,GK,27,£0.00,0.00,0.00,0.00,11.71,11.71,0,0,0,7.32,1.15,1.15,0.00,0,20,0.59,0,2.00,0,0.00
2000109107,Nick Frits - Dutch,Dongen - Dutch Vierde Divisie C,GK,21,£0.00,0.00,0.00,0.00,11.56,11.56,0,0,0,7.53,0.91,0.91,0.00,0,20,0.58,0,3.00,0,0.00
29228683,Jack Arthur - English,Millbrook - English Western League Premier Division,GK,21,£0.00,0.00,0.00,0.00,12.27,12.27,0,0,0,7.39,1.01,1.01,0.00,0,20.73,0.59,0,3.00,1,0.00
37076856,TJ Odunze - Dutch,Nuenen - Dutch Vierde Divisie C,GK,24,£0.00,0.00,0.00,0.00,11.95,11.95,0,0,0,7.35,0.99,0.99,0.00,0,20.36,0.59,0,1.00,0,0.00
18097196,Jordi Nolle - Belgian,KFC Sint-Lenaarts - Belgian Third Amateur Division VV B,GK,26,£0.00,0.00,0.00,0.00,12.1,12.1,0,0,0,7.48,1.34,1.34,0.00,0,20,0.6,0,3.00,0,210.00
18094205,Gianni De Ruysscher - Belgian,BHS United - Brabant Provincial Division (Fla),GK,26,£0.00,0.00,0.00,0.00,11.75,11.75,0,0,0,7.3,1.32,1.32,0.00,0,20,0.59,0,1.00,0,0.00
18097000,Dylan De Vocht - Belgian,Arendonk Sport - Antwerp Provincial Division,GK,24,£0.00,0.00,0.00,0.00,12.01,12.01,0,0,0,7.7,0.87,0.87,0.00,0,20.35,0.59,0,2.00,0,0.00
2000031035,Ruben Anthonissen - Belgian,KGS Bree-Beek - Limburg Provincial Division,GK,21,£0.00,0.00,0.00,0.00,12.15,12.15,0,-0.01,-0.01,7.09,1.29,1.29,0.00,0,20.15,0.6,0,1.00,0,0.00
2000039756,Niclas Kratzmann - German,Merten - German Lower Division,GK,21,£0.00,0.00,0.00,0.00,11.93,11.93,0,0,0,7.44,0.93,0.93,0.00,0,20,0.6,0,1.00,0,0.00
49061839,André Costa Da Silva - Angolan,Stade Sottevillais CC - French Regional 1 - Normandie - Group B,GK,22,£0.00,0.00,0.00,0.00,12.13,12.13,0,0,0,7.35,1.17,1.17,0.00,0,20.47,0.59,0,2.00,0,0.00
18089879,Yanno Vanwelkenhuysen - Belgian,VV Zepperen-Brustem - Belgian Third Amateur Division VV B,GK,27,£0.00,0.00,0.00,0.00,11.98,11.98,0,0,0,7.35,1.12,1.12,0.00,0,20,0.6,0,1.00,0,0.00
91203914,Paul Löhr - German,Kirchfeld - German Lower Division,GK,23,£0.00,0.00,0.00,0.00,12.05,12.05,0,0,0,7.47,1,1,0.00,0,20,0.6,0,0.00,0,0.00
18115915,Logan Charlo - Belgian,Pays Vert Ostiches-Ath - Belgian Third Amateur Division ACFF C,GK,23,£0.00,0.00,0.00,0.00,12.82,12.82,0,0,0,7.46,1.17,1.17,0.00,0,20.53,0.62,0,0.00,0,200.00
18083975,Dieter Creemers - Belgian,K Lutlommel VV - Limburg Provincial Division,GK,26,£0.00,0.00,0.00,0.00,12.06,12.06,0,0,0,7.26,1.26,1.26,0.00,0,20.3,0.59,0,3.00,0,0.00
18094629,Brent Callewaert - Belgian,KVC Ardooie - West-Flanders Provincial Division,GK,26,£0.00,0.00,0.00,0.00,11.98,11.98,0,0,0,7.59,1,1,0.00,0,20,0.6,0,1.00,0,0.00
18089350,Oussayd Belkouch - Moroccan,ASV Geel - Belgian Third Amateur Division VV B,GK,28,£0.00,0.00,0.00,0.00,12.39,12.39,0,0,0,7.36,1.02,1.02,0.00,0,20.48,0.6,0,2.00,0,0.00
18089496,Gio Fasco - Belgian,K Kalmthout SK - Antwerp Provincial Division,GK,26,£0.00,0.00,0.00,0.00,11.83,11.83,0,0,0,7.39,1.12,1.12,0.00,0,20,0.59,0,3.00,0,0.00
92092188,Lucas Hiemann - German,FSV Zwickau - German Regional Division Northeast,GK,25,£0.00,0.00,0.00,0.00,11.84,11.84,0,0,0,7.1,1.42,1.42,0.00,0,20,0.59,0,0.00,0,575.00
18111328,Wout Wijns - Belgian,VCE Mazenzele-Opwijk - Brabant Provincial Division (Fla),GK,24,£0.00,0.00,0.00,0.00,12.05,12.05,0,0,0,7.42,1.02,1.02,0.00,0,20,0.6,0,2.00,0,0.00
18074010,Kevin Frans - Belgian,KVE Drongen - East-Flanders Provincial Division,GK,28,£0.00,0.00,0.00,0.00,11.66,11.66,0,0,0,7.41,0.8,0.8,0.00,0,20,0.58,0,2.00,0,0.00
65042913,Jean-Noël Amonome - Gabonese,AS Arta - Djiboutian Premier Division,GK,26,£0.00,0.00,0.00,0.00,12.61,12.61,0,0,0,7.36,1.09,1.09,0.00,0,20.75,0.61,0,1.00,0,275.00
18097540,Olivier Djerdi - Belgian,FC Dadizele - West-Flanders Provincial Division,GK,26,£0.00,0.00,0.00,0.00,11.95,11.95,0,0,0,7.54,0.95,0.95,0.00,0,20,0.6,0,0.00,0,0.00
14182225,Juan Martín Boiero - Argentinian,Campora - Italian Promozione Calabria Grp.A,GK,28,£0.00,0.00,0.00,0.00,12,12,0,0,0,7.58,1,1,0.00,0,20,0.6,0,2.00,0,0.00
